Airport,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
Amsterdam,38384.0,35886.0,25816.0,4553.0,6304.0,8766.0,16761.0,24069.0,23010.0,20263.0,15383.0,16595.0,15179.0,11072.0,12874.0,14442.0,16587.0,20434.0,30452.0,33060.0,31721.0,33012.0,29705.0,31336.0,27104.0,25162.0,31736.0,35016.0,40102.0,38988.0,38002.0,39208.0,38946.0,38044.0,31635.0,31870.0,31046.0,29414.0,34632.0,26075.0
Antalya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23446.0,9849.0,6887.0,6596.0,6057.0,7579.0,9838.0
Athens,13658.0,12440.0,9397.0,2593.0,3207.0,6518.0,12465.0,15238.0,12283.0,9919.0,5841.0,5586.0,5640.0,4902.0,5912.0,6968.0,9598.0,15351.0,20900.0,21717.0,18527.0,16690.0,13370.0,13486.0,10866.0,10050.0,12475.0,15714.0,18523.0,21727.0,24581.0,24222.0,21601.0,19251.0,14093.0,14404.0,13698.0,12354.0,14626.0,12441.0
Barcelona,23453.0,22989.0,13837.0,1499.0,1745.0,2741.0,10371.0,14043.0,10495.0,8934.0,5324.0,7154.0,5569.0,3985.0,5287.0,6364.0,9348.0,13360.0,19753.0,21857.0,20846.0,20046.0,17834.0,19445.0,15571.0,15252.0,19934.0,24647.0,26665.0,26657.0,28266.0,27780.0,27147.0,27382.0,21789.0,22354.0,20930.0,20769.0,24179.0,18803.0
Berlin Brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15843.0,12743.0,12086.0,10972.0,11240.0,13057.0,10114.0
Brussels,16509.0,16145.0,10628.0,2103.0,2522.0,3598.0,7764.0,8102.0,6708.0,6376.0,4960.0,5927.0,5360.0,4317.0,4757.0,5434.0,6599.0,9044.0,13245.0,13833.0,13469.0,13261.0,12510.0,12315.0,10311.0,9550.0,12567.0,14510.0,15994.0,15681.0,17753.0,17533.0,16945.0,16386.0,13645.0,13349.0,12745.0,12259.0,14376.0,10851.0
Copenhagen,19119.0,18860.0,12058.0,1458.0,1609.0,3151.0,7252.0,8582.0,8370.0,7446.0,5109.0,5190.0,4107.0,2840.0,3711.0,4141.0,4816.0,7284.0,12218.0,13293.0,14043.0,15075.0,14270.0,14072.0,11605.0,11216.0,14386.0,16909.0,19017.0,19111.0,18738.0,19672.0,19574.0,19694.0,16636.0,15652.0,15419.0,15071.0,18089.0,13116.0
Dublin,16581.0,15887.0,12915.0,1992.0,2232.0,2533.0,6437.0,8106.0,6969.0,5533.0,3684.0,4016.0,3968.0,2610.0,3040.0,3116.0,3340.0,5163.0,8341.0,10857.0,11941.0,12687.0,12503.0,13449.0,10847.0,11452.0,15357.0,18414.0,20276.0,20258.0,20426.0,20511.0,19854.0,19884.0,17134.0,16954.0,16900.0,15644.0,18542.0,14111.0
Dusseldorf,15696.0,14946.0,9534.0,1022.0,1321.0,2750.0,6470.0,7410.0,7074.0,6179.0,3113.0,3187.0,2662.0,1969.0,2957.0,3538.0,4282.0,5888.0,10023.0,10371.0,10913.0,11832.0,9374.0,8212.0,7136.0,6377.0,9465.0,12245.0,13713.0,14161.0,14164.0,14788.0,14403.0,14047.0,10349.0,9398.0,8744.0,8442.0,10450.0,8434.0
Frankfurt,36386.0,35855.0,22868.0,6534.0,7800.0,9346.0,15388.0,17694.0,16925.0,17113.0,12822.0,13634.0,13212.0,11133.0,13709.0,15488.0,16988.0,20010.0,27590.0,28887.0,28120.0,29995.0,28880.0,27954.0,24634.0,22334.0,26933.0,32335.0,36554.0,35856.0,35009.0,35997.0,34154.0,35630.0,32545.0,30154.0,29711.0,27175.0,32120.0,24716.0
