Airline,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
AEGEAN Group,7398.0,6623.0,4949.0,1142.0,1372.0,3406.0,6416.0,7616.0,6305.0,4977.0,2632.0,2392.0,2837.0,2390.0,2794.0,3277.0,4512.0,7505.0,10588.0,11061.0,9234.0,8180.0,6527.0,6485.0,5233.0,4565.0,5542.0,7097.0,8687.0,10993.0,12626.0,12761.0,11042.0,9497.0,7391.0,7371.0,7075.0,6325.0,7276.0,6439.0
ASL Airlines Belgium,2163.0,2003.0,2276.0,1839.0,1759.0,2133.0,2278.0,2122.0,2357.0,2369.0,2279.0,2369.0,1970.0,2103.0,2331.0,2240.0,2293.0,2444.0,2377.0,2374.0,2510.0,2402.0,2289.0,2347.0,2243.0,2131.0,2412.0,1753.0,1841.0,1880.0,1919.0,1868.0,1963.0,1867.0,1996.0,1995.0,1948.0,1876.0,2098.0,1273.0
Aer Lingus Group,5261.0,5092.0,5037.0,655.0,748.0,765.0,1261.0,1474.0,1396.0,1228.0,724.0,816.0,722.0,457.0,514.0,561.0,723.0,981.0,1892.0,2904.0,2947.0,3092.0,2892.0,3788.0,3062.0,3113.0,4585.0,5479.0,6129.0,6053.0,5996.0,6025.0,5841.0,5707.0,4814.0,4866.0,4320.0,4145.0,5295.0,4239.0
Air Europa,7644.0,7120.0,4301.0,236.0,257.0,599.0,2821.0,3846.0,2952.0,2774.0,1795.0,2697.0,2404.0,1881.0,2147.0,2343.0,2510.0,3124.0,4598.0,4669.0,4101.0,4074.0,3783.0,4518.0,4394.0,3840.0,4471.0,4765.0,4994.0,5133.0,5861.0,6102.0,5925.0,5969.0,5532.0,5909.0,5850.0,5240.0,5772.0,3967.0
Air France Group,33495.0,31647.0,19694.0,1036.0,1696.0,5264.0,15408.0,19591.0,20075.0,18073.0,8260.0,12102.0,14194.0,10926.0,11979.0,12095.0,15059.0,19548.0,27281.0,27435.0,23299.0,24882.0,24863.0,24955.0,21193.0,20724.0,26146.0,28154.0,31096.0,32192.0,33580.0,33346.0,31603.0,31478.0,28648.0,29430.0,27108.0,25739.0,27474.0,21511.0
Austrian Airlines,9435.0,9115.0,4363.0,95.0,73.0,749.0,3033.0,4142.0,4140.0,3586.0,2021.0,1937.0,1900.0,1451.0,2110.0,2998.0,3629.0,4383.0,7033.0,7899.0,7276.0,7112.0,5814.0,5247.0,4389.0,3653.0,5443.0,7672.0,9003.0,9621.0,10017.0,10316.0,10289.0,9826.0,7682.0,7523.0,6989.0,6180.0,8173.0,7076.0
Bristow Norway,2921.0,2414.0,2704.0,2638.0,2821.0,2968.0,2694.0,2534.0,2566.0,2702.0,2303.0,2545.0,2338.0,2321.0,2707.0,2435.0,2591.0,2602.0,2187.0,2322.0,2525.0,2329.0,2517.0,2392.0,2245.0,2279.0,2808.0,2531.0,2580.0,2429.0,2156.0,2362.0,2370.0,2256.0,2209.0,1994.0,2117.0,2081.0,2353.0,1673.0
British Airways Group,25174.0,24336.0,17414.0,1784.0,2061.0,2353.0,5906.0,8629.0,7617.0,11401.0,4834.0,5570.0,3799.0,2826.0,3329.0,3475.0,4525.0,6082.0,8682.0,10957.0,13242.0,15063.0,14139.0,13873.0,12229.0,11918.0,17765.0,20427.0,22261.0,21902.0,21352.0,21800.0,21230.0,22108.0,21091.0,20859.0,21852.0,21059.0,23589.0,17224.0
Brussels Airlines,5456.0,5580.0,2869.0,33.0,22.0,377.0,1729.0,1746.0,1195.0,1053.0,667.0,845.0,763.0,526.0,534.0,855.0,1282.0,2435.0,3976.0,4243.0,4031.0,4029.0,3733.0,3476.0,2710.0,2184.0,3323.0,4754.0,5075.0,4712.0,5514.0,5464.0,5523.0,5145.0,4410.0,4366.0,4002.0,3952.0,4699.0,4128.0
DHL Group,5660.0,5431.0,6286.0,5566.0,5428.0,5709.0,6151.0,5649.0,6063.0,6247.0,6328.0,6744.0,5986.0,5859.0,6846.0,6290.0,6280.0,6533.0,6825.0,6688.0,6751.0,6577.0,7029.0,7279.0,6611.0,6414.0,7591.0,6657.0,7066.0,7079.0,7246.0,7556.0,7542.0,7471.0,8023.0,7813.0,7369.0,6876.0,7808.0,4843.0
