Country,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
Albania,11834.426,21856.655,26904.804,27412.23,28518.828999999998,30723.561999999998,42024.539000000004,55346.302,64850.831000000006,71989.905,77075.864,82288.131,87167.2794,91121.7451,96240.6841,102402.68575,111913.2812,126474.62545,148752.14885,177491.52785,201031.0353,219209.45595,232878.78015,248789.5404,263432.4036,274997.9436,290525.72685,311201.7756,335641.26165,361392.5988,392353.32015,425392.9756,453361.3809,476454.94755,495134.3524,514517.6443,533067.4471,548668.02685,566816.52505
Armenia,20693.241,37880.059,50522.081000000006,53039.794,55351.337,58849.252,62709.959,68163.303,75014.214,83904.215,99717.961,111700.522,119858.43575,130277.80075,143611.8329,156796.2839,173247.1904,191458.0773,217784.204,247972.22585,272386.1717,294792.31295,314971.3484,335691.9854,353890.367,367686.71435,388831.0421,411609.1646,436953.0051,468844.23195,508872.86325,550379.9943,587963.9925,625726.5075000001,657520.9002,693450.91875,729235.81965,758151.8274000001,791983.25895
Austria,233968.943,450828.30299999996,581847.973,605835.695,634534.862,663459.701,737304.739,830176.937,912198.2,979423.314,1026480.891,1075664.685,1122368.6833,1161284.52525,1211091.14125,1278467.38195,1352315.3363,1444989.1394,1593375.04745,1752127.7122,1902244.94535,2058210.0955,2197821.8644,2341109.9393,2476798.7007999998,2591888.2311,2738905.3992,2911159.1122,3098891.1088,3294705.08725,3517991.0745,3738572.83165,3948692.28115,4151244.4877,4316787.34975,4494953.52125,4673280.5430499995,4836483.12875,5031009.6038
Belgium,368320.597,715066.7520000001,1031197.5050000001,1236004.989,1474598.513,1698492.306,1977977.5150000001,2277445.417,2551801.577,2828461.352,3112370.222,3411821.045,3686054.87805,3936150.82765,4222946.0881,4527205.9653,4861167.05555,5221905.3659,5638445.06535,6064118.69855,6472707.5522,6894690.8902,7299842.8466,7708995.0799,8075207.58415,8415226.4661,8829532.968,9240117.4695,9663602.13325,10084464.87705,10548254.31025,11014454.8676,11442154.20465,11871294.9235,12264556.3441,12659437.6541,13025395.7492,13378008.95965,13778699.22185
Bosnia-Herzegovina,6149.965,11773.297,15229.886,16086.009,16709.202,19596.303,23748.95,28725.103000000003,32420.050000000003,35768.238,38520.573000000004,41392.23,43986.83025,45908.13615,48884.20775,52296.9461,57659.0742,67511.714,84027.6852,99862.1912,110527.14605,119448.2661,126561.5165,135900.46515,142283.50875,146492.59475,153217.8221,163357.02865,176313.92835,191543.32755,212371.2851,231925.36585,245278.85815000001,254661.09965,262046.9071,270031.3602,278105.901,285016.0462,293216.6509
Bulgaria,45409.442,88998.387,122669.68,135972.412,157866.332,187947.4,239362.685,291037.24199999997,334285.921,371282.29,396479.265,426081.082,452335.68605,473414.85895,497737.91215,528381.1179,559489.4828,599115.2152,669591.52665,753775.4547,818643.6325,865431.53695,900644.4461,941023.21,980555.69655,1012255.8204,1049253.8078,1098574.88285,1152543.03245,1220257.3491,1306045.2456999999,1391682.0539,1463791.93055,1521063.05555,1560764.6378,1604615.3991999999,1650639.29025,1690276.0522999999,1736460.79055
Canary Islands,299916.646,592824.399,807763.696,817992.963,828999.2270000001,847641.951,959134.176,1105465.965,1202203.2010000001,1289923.27,1373615.462,1486670.5860000001,1560440.6752,1605793.08525,1660903.65085,1730307.1994,1810619.6117500002,1919109.7899500001,2101293.9181500003,2315621.91475,2522917.501,2791393.384,3086015.47445,3406044.49945,3683168.25285,3937522.37505,4239643.497,4539778.42705,4784559.36585,5025161.8862000005,5293972.2228500005,5563863.4007,5814304.8211,6115165.2212000005,6441862.2056,6795426.7752,7122085.48005,7425234.55155,7758754.04015
Croatia,16911.849,33832.768,47276.121,50609.305,53225.104,61325.096,93053.089,141073.366,167338.65600000002,178402.098,184745.154,190212.493,195322.077,200222.84775000002,206214.41195,214582.6962,227107.73735,255217.87170000002,319350.8492,398226.9537,463135.58885,506417.5123,521330.08780000004,537904.5509500001,552394.505,565490.99485,583928.02735,620720.13505,675679.6609,751128.88965,849191.1843,946930.0351,1024033.89775,1078917.40115,1098600.01345,1117064.04205,1133277.85885,1147966.2918,1169083.2443
Cyprus,53602.196,102497.142,140807.329,151340.699,164085.949,180783.559,217570.564,265223.362,315344.67100000003,361520.708,383823.403,404325.11,420938.50995,436245.9429,454023.3433,477196.9661,516721.8354,570839.71665,648846.7934,740422.993,829235.8259,927350.6935,983212.68365,1027915.7039,1063757.5850499999,1098596.2481499999,1145379.83675,1216050.87565,1300233.26955,1387856.49145,1484027.54665,1583390.5897,1675236.2025,1766587.25005,1818521.32535,1864064.9123499999,1906868.14275,1949112.85125,2004440.4007
Czechia,87490.318,163940.563,214370.899,230540.471,242579.739,253063.476,281253.238,317381.572,351294.06799999997,376377.773,394213.805,414374.55700000003,432094.4659,449381.03405,470707.6264,496901.84635,526701.50015,571008.13515,630921.76645,692727.37495,754970.2103500001,811060.6254,863840.832,918235.36015,962256.0999,1003452.96045,1056269.80605,1117057.95765,1185446.3256,1275747.76045,1376553.3355,1476359.6952,1564485.5176,1637806.1252000001,1693219.05175,1750091.51825,1800238.4124,1849022.0427,1911651.12475
