Country,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
Albania,2071,1753,917,150,222,465,1928,2281,1698,1502,1241,1055,1044,967,1129,1206,1612,2377,3322,4098,3387,2612,2120,2405,2245,1817,2329,2958,3568,3729,4416,4702,3974,3397,2827,3097,2878,2461,3036,2692
Armenia,2201,1814,1345,217,212,311,303,467,615,797,694,787,724,925,1213,1306,1505,1691,2452,2782,2265,2072,1860,1897,1732,1370,2062,2275,2664,3223,3984,4132,3720,3610,3069,3343,3409,2803,3242,2524
Austria,27399,26975,15060,1798,2658,5850,13125,15998,14543,11342,6784,6815,5945,5481,7161,8623,10041,14153,20538,22374,21965,20941,17458,16819,15920,15221,19503,21008,24467,25920,27683,27451,26994,25092,20471,21630,21574,20430,24047,17964
Belgium,25198,24321,17322,5083,6337,8477,15420,16302,13937,13166,10732,12189,10415,9200,10155,11176,13333,17695,23689,24302,24104,23759,22196,21802,18478,18195,22932,23945,26496,26086,28971,28289,27004,25845,22063,21840,20875,20237,23344,18104
Bosnia-Herzegovina,1160,1117,741,225,206,616,876,938,757,732,632,594,565,456,656,754,937,1526,2169,2147,1755,1554,1332,1563,1133,835,1340,1748,2098,2307,2764,2652,2216,1828,1478,1461,1486,1281,1554,1316
Bulgaria,5440,5157,3740,1088,1703,2702,5356,5700,4743,3754,2540,2946,2417,2009,2421,2767,3160,4811,8052,9192,7213,5222,4021,4432,4118,3604,4280,5517,6333,7919,9942,9866,8179,6242,4928,5173,5294,4756,5548,4302
Croatia,3868,3812,2857,416,939,3052,7818,10377,5732,3265,2138,1780,1707,1603,2250,2805,3923,6801,12639,14528,11528,8258,3666,3899,3386,3231,4271,7018,9832,13030,16607,16603,13098,9704,4431,4138,3941,3649,4835,5321
Cyprus,4889,4573,3314,727,853,1488,3458,4288,4003,3806,2076,1927,1551,1470,1879,2389,3622,5013,7083,7432,7062,7812,5102,4442,3629,3423,4406,6151,7123,7593,8214,8488,7881,8054,5163,4805,4429,4307,5362,5431
Czech Republic,11328,10471,6620,1539,1730,2928,6093,6637,6271,4542,3319,3578,2963,2785,3346,3605,4623,6943,9017,9486,9713,8771,7857,7589,6123,6224,7913,8985,10251,12487,13317,13222,12768,10675,8269,8195,7374,7282,9247,7374
Denmark,24700,24076,15371,2585,3171,5200,10424,12057,12251,10799,7525,7087,5456,4128,5602,6092,7162,10508,16799,18258,19318,20430,19030,18125,15105,15001,19320,22649,25871,26570,26076,27012,26526,26261,21624,19793,19933,19519,23524,17927
Estonia,3253,3145,2108,441,793,1251,1783,1846,1746,1484,1413,1382,1176,1013,1294,1386,1674,1993,2306,2496,2697,2732,2822,2836,2551,2253,2820,3078,3631,3384,3380,3406,3439,3469,2747,2554,2606,2446,2935,2034
Finland,17880,17140,11884,2175,2483,3595,4948,6504,5320,4828,4727,4516,4418,4252,4555,4110,4592,5711,6512,8114,8941,9939,10801,13307,11282,10026,11635,12084,14026,13265,12912,13282,13375,13422,12519,14555,13561,12480,13968,9347
France,111111,107183,69513,10847,17007,33059,70358,81403,70967,62775,39492,48474,47009,40949,46402,45806,57008,76834,110058,111977,103762,101635,89600,90175,76951,80507,100987,111939,128510,132363,142144,134398,127572,124706,99832,103257,96951,95653,104733,85536
