Category,Month,Total Flights,Percentage Change Monthly,Abs_Percentage Change Monthly,Monthly(to 2019)
Low Cost Airline,2020-01-01,202388,1.9669091715201223,1.9669091715201223,1.9669091715201223
Low Cost Airline,2020-02-01,194934,2.1168927095283747,2.1168927095283747,2.1168927095283747
Low Cost Airline,2020-03-01,121601,-44.10254524392879,44.10254524392879,-44.10254524392879
Low Cost Airline,2020-04-01,6140,-97.53956136870914,97.53956136870914,-97.53956136870914
Low Cost Airline,2020-05-01,6631,-97.48149386040541,97.48149386040541,-97.48149386040541
Low Cost Airline,2020-06-01,19534,-92.69360962016793,92.69360962016793,-92.69360962016793
Low Cost Airline,2020-07-01,99874,-64.34815822258395,64.34815822258395,-64.34815822258395
Low Cost Airline,2020-08-01,152986,-45.62102561732893,45.62102561732893,-45.62102561732893
Low Cost Airline,2020-09-01,118702,-56.004847909802194,56.004847909802194,-56.004847909802194
Low Cost Airline,2020-10-01,91110,-64.93368536921432,64.93368536921432,-64.93368536921432
Low Cost Airline,2020-11-01,48681,-76.09868663311649,76.09868663311649,-76.09868663311649
Low Cost Airline,2020-12-01,55695,-74.01921910715119,74.01921910715119,-74.01921910715119
Low Cost Airline,2021-01-01,43417,-78.54764116449591,78.54764116449591,-78.12569275105298
Low Cost Airline,2021-02-01,29752,-84.73739829891143,84.73739829891143,-84.41430539621673
Low Cost Airline,2021-03-01,36099,-70.3135665002755,70.3135665002755,-83.40603926580033
Low Cost Airline,2021-04-01,44682,627.7198697068404,627.7198697068404,-82.09489919815347
Low Cost Airline,2021-05-01,56730,755.5270698235561,755.5270698235561,-78.45349822060001
Low Cost Airline,2021-06-01,112553,476.1902324152759,476.1902324152759,-57.9012922892783
Low Cost Airline,2021-07-01,180930,81.15825940685264,81.15825940685264,-35.41374398954797
Low Cost Airline,2021-08-01,208245,36.12029858941341,36.12029858941341,-25.979177700447515
Low Cost Airline,2021-09-01,191776,61.5608835571431,61.5608835571431,-28.92104356076751
Low Cost Airline,2021-10-01,192407,111.18099001207331,111.18099001207331,-25.946609601958265
Low Cost Airline,2021-11-01,159770,228.19785953452066,228.19785953452066,-21.55640112925003
Low Cost Airline,2021-12-01,172162,209.1157195439447,209.1157195439447,-19.689322199934693
Low Cost Airline,2022-01-01,131507,202.89287606237187,202.89287606237187,-33.74428165494448
Low Cost Airline,2022-02-01,137352,361.65635923635386,361.65635923635386,-28.047649730477282
Low Cost Airline,2022-03-01,179478,397.18274744452754,397.18274744452754,-17.497690111839958
Low Cost Airline,2022-04-01,229203,412.96495232979726,412.96495232979726,-8.153108207205799
Low Cost Airline,2022-05-01,249803,340.33668253128855,340.33668253128855,-5.122848863045071
Low Cost Airline,2022-06-01,251463,123.41741224134408,123.41741224134408,-5.944156645658395
Low Cost Airline,2022-07-01,266308,47.188415409274306,47.188415409274306,-4.936513206038474
Low Cost Airline,2022-08-01,271237,30.248985569881633,30.248985569881633,-3.588629844348157
Low Cost Airline,2022-09-01,257482,34.26184715501419,34.26184715501419,-4.5680801461785645
Low Cost Airline,2022-10-01,252817,31.396986596121764,31.396986596121764,-2.6960765447113797
Low Cost Airline,2022-11-01,183702,14.979032359016086,14.979032359016086,-9.806309070823616
Low Cost Airline,2022-12-01,220148,27.872585123314085,27.872585123314085,2.6953398329990206
Low Cost Airline,2023-01-01,186444,41.77496254952208,41.77496254952208,-6.065980129380706
Low Cost Airline,2023-02-01,176607,28.579853223833652,28.579853223833652,-7.4837736323490125
Low Cost Airline,2023-03-01,206894,15.275409799529745,15.275409799529745,-4.895124182345559
Low Cost Airline,2023-04-01,180016,-21.46001579385959,21.46001579385959,-27.863465692108562
