,Country,CO2 Emissions
0,Albania,566816.52505
1,Armenia,791983.25895
2,Austria,5031009.6038
3,Belgium,13778699.22185
4,Bosnia-Herzegovina,293216.6509
5,Bulgaria,1736460.79055
6,Canary Islands,7758754.04015
7,Croatia,1169083.2443
8,Cyprus,2004440.4007
9,Czechia,1911651.12475
10,Denmark,5257144.2771
11,Estonia,469946.622
12,Finland,4171329.4446
13,France,44206008.0806
14,Georgia,1162203.4644
15,Germany,61478963.1682
16,Greece,9210527.671600001
17,Hungary,1977170.17785
18,Iceland,876813.6505
19,Ireland,5908561.4747
20,Italy,26037673.90345
21,Kosovo,409522.54615
22,Latvia,876531.3636
23,Liechtenstein,1.0363
24,Lithuania,853470.28755
25,Luxembourg,5674817.49935
26,Malta,920619.6529
27,"Moldova, Republic Of",396819.5302
28,Monaco,1206.67305
29,Montenegro,223420.56475
30,Netherlands,25104389.11565
31,North Macedonia,298115.34105
32,Norway,6032904.527
33,Poland,6709781.5288
34,Portugal,10507396.463849999
35,Romania,3115795.94955
36,Serbia,1051784.4807
37,Slovakia,287801.6251
38,Slovenia,178072.5939
39,Spain,34108765.6379
40,Sweden,4931044.7064
41,Switzerland,10255999.9415
42,Türkiye,38379732.6849
43,United Kingdom,63457711.62705
