,Country,Total Flights
0,Albania,91688
1,Armenia,77617
2,Austria,675221
3,Belgium,753014
4,Bosnia-Herzegovina,51505
5,Bulgaria,196587
6,Croatia,242756
7,Cyprus,184718
8,Czech Republic,291460
9,Denmark,638865
10,Estonia,91803
11,Finland,372991
12,France,3389443
13,Georgia,93058
14,Germany,3909233
15,Greece,1083213
16,Hungary,251310
17,Ireland,561456
18,Israel,336466
19,Italy,2681343
20,Latvia,146403
21,Lithuania,130207
22,Luxembourg,177522
23,Malta,118388
24,Moldova,52424
25,Morocco,405947
26,Netherlands,1307017
27,North Macedonia,47480
28,Norway,1235575
29,Poland,857958
30,Portugal,916715
31,Romania,423898
32,Serbia & Montenegro,217371
33,Slovakia,62720
34,Slovenia,56473
35,Spain,3586051
36,Sweden,720941
37,Switzerland,1009362
38,Türkiye,2405820
39,Ukraine,232106
40,United Kingdom,3885997
