,Airport,Total Flights
0,Amsterdam,1052644.0
1,IGA Istanbul Airport,1025241.0
2,Paris Charles de Gaulle,1012176.0
3,Frankfurt,970188.0
4,London Heathrow,911293.0
5,Madrid Barajas,846733.0
6,Munich,655725.0
7,Barcelona,654404.0
8,Istanbul Sabiha Gokcen,557206.0
9,Athens,522832.0
10,Oslo,511748.0
11,Zurich,506735.0
12,Vienna,500677.0
13,Rome Fiumicino,496293.0
14,Palma de Mallorca,479447.0
15,Copenhagen,471979.0
16,Lisbon,471111.0
17,Paris Orly,459562.0
18,Dublin,454464.0
19,Milan Malpensa,451977.0
20,Brussels,429941.0
21,London Gatwick,419204.0
22,London Stansted,405935.0
23,Stockholm Arlanda,401101.0
24,Geneva,376452.0
25,Warsaw Chopin,362828.0
26,Dusseldorf,337039.0
27,Manchester,336572.0
28,Nice,328403.0
29,Tel Aviv,320460.0
30,Helsinki,319501.0
31,Liege,119999.0
32,Istanbul Ataturk,86916.0
33,Berlin Brandenburg,86055.0
34,Antalya,70252.0
35,Malaga,69621.0
