,Country,Total Flights
0,Germany,3909233
1,United Kingdom,3885997
2,Spain,3586051
3,France,3389443
4,Italy,2681343
5,Türkiye,2405820
6,Netherlands,1307017
7,Norway,1235575
8,Greece,1083213
9,Switzerland,1009362
10,Portugal,916715
11,Poland,857958
12,Belgium,753014
13,Sweden,720941
14,Austria,675221
15,Denmark,638865
16,Ireland,561456
17,Romania,423898
18,Morocco,405947
19,Finland,372991
20,Israel,336466
21,Czech Republic,291460
22,Hungary,251310
23,Croatia,242756
24,Ukraine,232106
25,Serbia & Montenegro,217371
26,Bulgaria,196587
27,Cyprus,184718
28,Luxembourg,177522
29,Latvia,146403
30,Lithuania,130207
31,Malta,118388
32,Georgia,93058
33,Estonia,91803
34,Albania,91688
35,Armenia,77617
36,Slovakia,62720
37,Slovenia,56473
38,Moldova,52424
39,Bosnia-Herzegovina,51505
40,North Macedonia,47480
